exercise_id,exercise_name,movement_pattern,aether_pattern,aether_node,contraindicated_populations,load_standard_band,load_band_primary,load_band_range,plyo_contacts,e_node,intensity_vmax,fv_zones,is_plyometric,is_sprint
EX_00443,Deadlift Double Leg Single Arm with FMT,Deadlift,Hinge-Bilateral,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00444,Deadlift Double Leg Single Arm with One DB,Deadlift,Hinge-Bilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00445,Deadlift Double Leg Single Arm with One KB,Deadlift,Hinge-Bilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00446,Deadlift Lat Engagement (Arm Against Ribs) Drill,Deadlift,Hinge-Bilateral,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00447,DNS Star Pattern,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00448,DNS Star Pattern to Row - 1 Arm Cable,Row,Pull-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00449,Dorsiflexion (Theraband),Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00450,Dorsiflexion - Supine,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00451,Dorsiflexion from Half Kneeling with Dowel,Joint_Mobility,Joint-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00452,Dorsiflexion from Half Kneeling with Dowel and Pulses,Joint_Mobility,Joint-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00453,Dorsiflexion Mobility - Front Foot Elevated Tubing (Anterior to Posterior),Mobility,Mobility-Static,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00454,Dorsiflexion Mobility - Half Kneeling Tubing (Anterior to Posterior),Mobility,Mobility-Static,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00455,Dorsiflexion Resisted Ball Roll with Core Activation with FMT,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00456,Dorsiflexion RNT Closed Chain with FMT,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00457,Dorsiflextion Stretch - Half Kneeling (Dowel),Stretch,Mobility-Static,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00458,Double Arm KB Swing,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00459,Downward Dog (Hold),Isometric_Hold,Isometric-Hold,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00460,Downward Dog (Legs Bent),Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00461,Downward Dog (Reps),Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00462,Downward Dog - Short Lever,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00463,Downward Dog to Overhead Press,Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00464,Drop Crossover & Cut (Zig Zag),Other,Other,A,,,Band_1,0-2,1.0,E3,,Zone_3,True,False
EX_00465,Drop Hop - 1 Leg,Hop,Plyometric-Landing,D,R2P1,,Band_3,2-4,1.0,E3,,Zone_3,True,False
EX_00466,Drop Jump,Jump,Plyometric-Landing,D,R2P1,,Band_3,2-4,2.0,E3,,Zone_3,True,False
EX_00467,Drop Lateral Slide Cutting (Zig Zag),Other,Other,A,,,Band_1,0-2,1.0,E3,,Zone_3,True,False
EX_00468,Drop Lunge (TRX),Lunge,Lunge-Unilateral,C,,,Band_2,1-3,1.0,E3,,"Zone_3,Zone_5",True,False
EX_00469,Drop Lunge - Alternating Sides,Lunge,Lunge-Unilateral,C,,,Band_2,1-3,1.0,E3,,"Zone_3,Zone_5",True,False
EX_00470,Drop lunge - Dumbbell,Lunge,Lunge-Unilateral,C,,,Band_2,1-3,1.0,E3,,"Zone_3,Zone_5",True,False
EX_00471,Drop Lunge - Hand Support (TRX),Lunge,Lunge-Unilateral,C,,,Band_2,1-3,1.0,E3,,"Zone_3,Zone_5",True,False
EX_00472,Drop Lunge - Same Side,Lunge,Lunge-Unilateral,C,,,Band_2,1-3,1.0,E3,,"Zone_3,Zone_5",True,False
EX_00473,Drop Split Stance,Other,Other,A,,,Band_1,0-2,1.0,E3,,Zone_3,True,False
EX_00474,Drop Squat,Squat,Squat-Bilateral,B,,,Band_1,0-2,1.0,E3,,"Zone_3,Zone_5",True,False
EX_00475,Drop Squat - 1 leg,Squat,Squat-Bilateral,B,,,Band_1,0-2,1.0,E3,,"Zone_3,Zone_5",True,False
EX_00476,Drop Squat - Off Box,Squat,Squat-Bilateral,B,,,Band_1,0-2,1.0,E3,,"Zone_3,Zone_5",True,False
EX_00477,Drop squat to 2 inch runs,Squat,Squat-Bilateral,B,,,Band_1,0-2,1.0,E3,,"Zone_3,Zone_5",True,False
EX_00478,Drop Squat to Jump and Stabilize,Squat,Squat-Bilateral,B,,,Band_1,0-2,1.0,E3,,"Zone_3,Zone_5",True,False
EX_00479,Drop Step Skip,Skip,Locomotion-Linear,A,,,Band_1,0-2,1.0,E3,,Zone_3,True,False
EX_00480,Drop Step Squat,Squat,Squat-Bilateral,B,,,Band_1,0-2,1.0,E3,,"Zone_3,Zone_5",True,False
EX_00481,Dumbbell - Hip Thrust,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00482,Dumbbell Hammer Curl,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00483,Dumbbell Single Leg Standing Calf Raise,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00484,Dumbbell Skull Crusher,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00485,Dumbbell Split Squat - Front Foot Elevated,Squat,Squat-Bilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00486,Dumbbell Squat Jump,Squat,Squat-Bilateral,B,,,Band_2,1-3,1.0,E2,,"Zone_3,Zone_5",True,False
EX_00487,Dumbbell Strength A,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00488,Dumbbell Strength B,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00489,Dumbbell Strength C,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00490,Dumbbell Strength D,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00491,Dynamic Pillar Bridge (Time),Bridge,Core-Stability,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00492,Dynamic Pillar Bridge - Arms in TRX,Bridge,Core-Stability,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00493,Dynamic Plank (Slide),Plank,Core-Stability,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00494,Dynamic Plank - Kneeling (Slides),Plank,Core-Stability,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00495,Dynamic Plank - Kneeling (Stability Ball),Plank,Core-Stability,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00496,Dynamic Plank - Kneeling (TRX),Plank,Core-Stability,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00497,Dynamic Plank - Kneeling BB,Plank,Core-Stability,B,,,Band_2,1-3,,E0,,Zone_5,False,False
EX_00498,Easy Skip - Backward,Skip,Locomotion-Linear,A,,,Band_1,0-2,1.0,E2,,Zone_3,True,False
EX_00499,Easy Skip - Forward,Skip,Locomotion-Linear,A,,,Band_1,0-2,1.0,E2,,Zone_3,True,False
EX_00500,Elbow Bending Stretch,Stretch,Mobility-Static,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00501,Elbow Extension Stretch (Floss Band),Stretch,Mobility-Static,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00502,Elbow Flexion Stretch,Stretch,Mobility-Static,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00503,Elbow Flexion Stretch (Floss Band),Stretch,Mobility-Static,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00504,External Rotation (Elbow on Knee),Joint_Mobility,Joint-Rotation,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00505,Farmer's Walk,Carry,Complex-Movement,C,,,Band_2,1-3,,E0,,Zone_5,False,False
EX_00506,Farmer's Walk - 1 Arm KB,Carry,Complex-Movement,C,,,Band_2,1-3,,E0,,Zone_5,False,False
EX_00507,Farmer's Walk - KB,Carry,Complex-Movement,C,,,Band_2,1-3,,E0,,Zone_5,False,False
EX_00508,Farmer's Walk - Trap Bar,Carry,Complex-Movement,C,,,Band_2,1-3,,E0,,Zone_5,False,False
EX_00509,Farmer's Walk Racked with One KB,Carry,Complex-Movement,C,,,Band_2,1-3,,E0,,Zone_5,False,False
EX_00510,Farmer's Walk Single Arm Bottoms Up with One KB,Carry,Complex-Movement,C,,,Band_2,1-3,,E0,,Zone_5,False,False
EX_00511,Farmer's Walk Single Arm Down with One DB,Carry,Complex-Movement,C,,,Band_2,1-3,,E0,,Zone_5,False,False
EX_00512,Farmer's Walk Single Arm Down with One KB,Carry,Complex-Movement,C,,,Band_2,1-3,,E0,,Zone_5,False,False
EX_00513,Farmer's Walk with Two DB,Carry,Complex-Movement,C,,,Band_2,1-3,,E0,,Zone_5,False,False
EX_00514,Farmers Carry March,Carry,Complex-Movement,C,,,Band_2,1-3,,E0,,Zone_5,False,False
EX_00515,Feet Forward Squat - Smith Machine,Squat,Squat-Bilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00516,Feet to Bar,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00517,Figure 8 - Kettlebell,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00518,Figure 8 w/ Swing - Kettlebell,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00519,Figure-4 with Rotation - Band Assist,Joint_Mobility,Joint-Rotation,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00520,Flexed Arm Hang,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00521,Flexion and Extension Alternate Arm Pattern from Half Kneeling with FMT,Joint_Mobility,Joint-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00522,Flexion and Extension Alternate Arm Pattern from Split Stance with FMT,Joint_Mobility,Joint-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00523,Flexion and Extension Alternate Arm Pattern from Supine with FMT,Joint_Mobility,Joint-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00524,Flexion and Extension Alternate Arm Pattern from Symmetrical Stance with FMT,Joint_Mobility,Joint-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00525,Flexion and Extension Alternate Arm Pattern from Tall Kneeling with FMT,Joint_Mobility,Joint-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00526,Flexion and Extension with Step from Tall Kneeling with DB,Joint_Mobility,Joint-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00527,Floating - Vertical (Pool Noodle),Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00528,Floor Press - DB,Press,Push-Horizontal,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00529,Floor Press - DB Alternating,Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00530,Floor Scorpion (Prone),Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00531,Fly In - 15yd approach,Other,Other,A,,,Band_1,0-2,,E0,100.0,Zone_4,False,True
EX_00532,Fly In - 20yd approach,Other,Other,A,,,Band_1,0-2,,E0,100.0,Zone_4,False,True
EX_00533,FMS - ASLR,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00534,FMS - Hurdle Step,Deadlift,Hinge-Bilateral,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00535,FMS - In Line Lunge,Lunge,Lunge-Unilateral,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00536,FMS - Overhead Squat,Squat,Squat-Bilateral,B,,,Band_1,0-2,,E0,,Zone_6,False,False
EX_00537,FMS - Rotary Stability,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00538,FMS - Shoulder Mobility,Mobility,Mobility-Static,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00539,FMS - TSPU (Female),Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00540,FMS - TSPU (Male),Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00541,Foam Roll - Adductor,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00542,Foam Roll - Calf,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00543,Foam Roll - Glute Max,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00544,Foam Roll - Glute Med,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00545,Foam Roll - Hamstring,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00546,Foam Roll - Hamstring Stretch,Stretch,Mobility-Static,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00547,Foam Roll - Hip Flexor,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00548,Foam Roll - IT Band,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00549,Foam Roll - Lateral Quadricep,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00550,Foam Roll - Latissimus Dorsi,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00551,Foam Roll - Low Back,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00552,Foam Roll - Low Back (Quadratis Lumborum),Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00553,Foam Roll - Mid to Upper Back,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00554,Foam Roll - Mid to Upper Back w/ Overhead Alternating Flexion,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00555,Foam Roll - Pec,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00556,Foam Roll - Pec Major,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00557,Foam Roll - Peroneals,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00558,Foam Roll - Piriformis,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00559,Foam Roll - Quadriceps,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00560,Foam Roll - T-Spine,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00561,Foam Roll - TFL,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00562,Foam Roll - Tibialis Anterior,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00563,Foam Roll - VMO,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00564,Foam Roll Static Hold - Adductor,Isometric_Hold,Isometric-Hold,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00565,Foam Roll Static Hold - Calf,Isometric_Hold,Isometric-Hold,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00566,Foam Roll Static Hold - Glute Max,Isometric_Hold,Isometric-Hold,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00567,Foam Roll Static Hold - Glute Medius,Isometric_Hold,Isometric-Hold,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00568,Foam Roll Static Hold - Hamstring,Isometric_Hold,Isometric-Hold,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00569,Foam Roll Static Hold - IT Band,Isometric_Hold,Isometric-Hold,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00570,Foam Roll Static Hold - Lateral Quadriceps,Isometric_Hold,Isometric-Hold,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00571,Foam Roll Static Hold - Pec Major,Isometric_Hold,Isometric-Hold,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00572,Foam Roll Static Hold - Peroneals,Isometric_Hold,Isometric-Hold,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00573,Foam Roll Static Hold - Piriformis,Isometric_Hold,Isometric-Hold,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00574,Foam Roll Static Hold - Quadriceps,Isometric_Hold,Isometric-Hold,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00575,Foam Roll Static Hold - TFL,Isometric_Hold,Isometric-Hold,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00576,Foam Roll Static Hold - Tibialis Anterior,Isometric_Hold,Isometric-Hold,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00577,Foam Roll Static Hold - VMO,Isometric_Hold,Isometric-Hold,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00578,Foam Roll Trigger Point Stripping - Adductor,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00579,Foam Roll Trigger Point Stripping - Calf,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00580,Foam Roll Trigger Point Stripping - IT Band,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00581,Foam Roll Trigger Point Stripping - Lateral Quadricep,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00582,Foam Roll Trigger Point Stripping - Peroneals,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00583,Foam Roll Trigger Point Stripping - Quadriceps,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00584,Foam Roll Trigger Point Stripping - TFL,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00585,Foam Roll Trigger Point Stripping - Tibialis Anterior,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00586,Foam Roll Trigger Point Stripping - VMO,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00587,Foam Roller - Adductor,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00588,Foam Roller - Calf Muscle,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00589,Foam Roller - Gluteal Muscle,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00590,Foam Roller - Hamstring,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00591,Foam Roller - Lat,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00592,Foam Roller - Mid Back,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00593,Foam Roller - Quadriceps,Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00594,Foam Roller - Tensor Fascia Latae (TFL),Other,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00595,Forearm Radial Deviation (Dowel),Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00596,Forearm Ulnar Deviation (Dowel),Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00597,Forward Fold - Seated,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00598,Forward Fold - Standing,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00599,Forward Lunge - Alternating Cable (Vest with Medial/Lateral Pull),Lunge,Lunge-Unilateral,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00600,Forward Lunge - Alternating Cable Assisted (Vest),Lunge,Lunge-Unilateral,C,Youth,,Band_3,2-4,,E0,,"Zone_1,Zone_6",False,False
EX_00601,Forward Lunge - Back Barbell,Lunge,Lunge-Unilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00602,Forward Lunge - Cable (Vest with Lateral Pull),Lunge,Lunge-Unilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00603,Forward Lunge - Cable (Vest with Medial Pull),Lunge,Lunge-Unilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00604,Forward Lunge - Dumbbell,Lunge,Lunge-Unilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00605,Forward Lunge - Dumbbell (contra) - In Place,Lunge,Lunge-Unilateral,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00606,Forward Lunge - Dumbbell (ipsi) - In Place,Lunge,Lunge-Unilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00607,Forward Lunge with DB's,Lunge,Lunge-Unilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00608,"Forward Lunge, Elbow to Instep - Crawling",Lunge,Lunge-Unilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00609,"Forward Lunge, Elbow to Instep - In Place",Lunge,Lunge-Unilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00610,"Forward Lunge, Elbow to Instep - In Place (Vibration)",Lunge,Lunge-Unilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00611,"Forward Lunge, Elbow to Instep - In Place with Rotation (Vibration)",Lunge,Lunge-Unilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00612,"Forward Lunge, Elbow to Instep - Kneeling in Place",Lunge,Lunge-Unilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00613,"Forward Lunge, Elbow to Instep - Walking",Lunge,Lunge-Unilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00614,"Forward Lunge, Elbow to Instep w/ Rotation (World's Greatest Stretch)",Lunge,Lunge-Unilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00615,Forward Shuffle with Jump Rope,Jump,Plyometric-Landing,D,R2P1,,Band_3,2-4,1.0,E2,,Zone_3,True,False
EX_00616,Forward Straddle Jump with Jump Rope,Jump,Plyometric-Landing,D,R2P1,,Band_3,2-4,1.0,E2,,Zone_3,True,False
EX_00617,Front Squat - 1 Arm Kettlebell,Squat,Squat-Bilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00618,Front Squat - 2 Arm Kettlebell,Squat,Squat-Bilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00619,Front Squat - 2 Arm Kettlebell (Bottoms Up),Squat,Squat-Bilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00620,Front Squat - Barbell,Squat,Squat-Bilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00621,Front Squat - Dumbbell,Squat,Squat-Bilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00622,Front Squat - Dumbbell (Vibration),Squat,Squat-Bilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00623,Front Squat to Press - Barbell,Squat,Squat-Bilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00624,Front Squat with Cable Bar,Squat,Squat-Bilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00625,Front Squat with FMT,Squat,Squat-Bilateral,B,,,Band_1,0-2,,E0,,Zone_6,False,False
EX_00626,Full Bow Stretch,Stretch,Mobility-Static,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00627,Get Ups - Bounce Bounce Run,Run,Locomotion-Linear,A,,,Band_1,0-2,,E0,90.0,Zone_4,False,True
EX_00628,Get Ups - Bounce Bounce Run to Deceleration,Run,Locomotion-Linear,A,,,Band_1,0-2,,E0,85.0,Zone_5,False,True
EX_00629,Get Ups - Down Position to Deceleration,Get-Up,Complex-Movement,D,,,Band_3,2-4,,E0,,"Zone_1,Zone_6",False,False
EX_00630,Get Ups - Up Position,Get-Up,Complex-Movement,D,,,Band_3,2-4,,E0,,"Zone_1,Zone_6",False,False
EX_00631,Get-up Ankle Rotations,Get-Up,Complex-Movement,D,,,Band_3,2-4,,E0,,"Zone_1,Zone_6",False,False
EX_00632,Get-up Arm Bar,Get-Up,Complex-Movement,D,,,Band_3,2-4,,E0,,"Zone_1,Zone_6",False,False
EX_00633,Get-up Bottoms Up Ankle Rotations,Get-Up,Complex-Movement,D,,,Band_3,2-4,,E0,,"Zone_1,Zone_6",False,False
EX_00634,Get-up Bottoms Up Hip and Shoulder Rotations,Get-Up,Complex-Movement,D,,,Band_3,2-4,,E0,,"Zone_1,Zone_6",False,False
EX_00635,Get-up Bottoms Up Hip Circles,Get-Up,Complex-Movement,D,,,Band_3,2-4,,E0,,"Zone_1,Zone_6",False,False
EX_00636,Get-up Bottoms Up Hip Rotations,Get-Up,Complex-Movement,D,,,Band_3,2-4,,E0,,"Zone_1,Zone_6",False,False
EX_00637,Get-up Bottoms Up Leg Extension,Get-Up,Complex-Movement,D,,,Band_3,2-4,,E0,,"Zone_1,Zone_6",False,False
EX_00638,Get-up Bottoms Up Single Leg Hip Bridge,Bridge,Core-Stability,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00639,Get-up Crooked Arm Bar,Get-Up,Complex-Movement,D,,,Band_3,2-4,,E0,,"Zone_1,Zone_6",False,False
EX_00640,Get-up Elbow to Post Neck Rotations,Get-Up,Complex-Movement,D,,,Band_3,2-4,,E0,,"Zone_1,Zone_6",False,False
EX_00641,Get-up Elbow to Post Shoulder Rotations,Get-Up,Complex-Movement,D,,,Band_3,2-4,,E0,,"Zone_1,Zone_6",False,False
EX_00642,Get-up Half Kneeling to Stand Close Stance Split Stance with One KB,Get-Up,Complex-Movement,D,,,Band_4,4-4,,E0,,"Zone_1,Zone_6",False,False
EX_00643,Get-up Half Kneeling to Stand Split Stance Bottoms Up Press with One KB,Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00644,Get-up Half Kneeling to Stand with One KB,Get-Up,Complex-Movement,D,,,Band_4,4-4,,E0,,"Zone_1,Zone_6",False,False
EX_00645,Get-up High Pelvis to Bend with KB,Get-Up,Complex-Movement,D,,,Band_4,4-4,,E0,,"Zone_1,Zone_6",False,False
EX_00646,"Get Up, Open Half Kneeling, Inline Lunge, Active Straight Leg Raise",Lunge,Lunge-Unilateral,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00647,Get-up Hip and Shoulder Rotations,Get-Up,Complex-Movement,D,,,Band_3,2-4,,E0,,"Zone_1,Zone_6",False,False
EX_00648,Get-up Hip Circles,Get-Up,Complex-Movement,D,,,Band_3,2-4,,E0,,"Zone_1,Zone_6",False,False
EX_00649,Get-up Hip Rotations,Get-Up,Complex-Movement,D,,,Band_3,2-4,,E0,,"Zone_1,Zone_6",False,False
EX_00650,Get-up Knee to Half Kneeling Arm Rotations with One KB,Get-Up,Complex-Movement,D,,,Band_4,4-4,,E0,,"Zone_1,Zone_6",False,False
EX_00651,Get-up Leg Extension,Get-Up,Complex-Movement,D,,,Band_3,2-4,,E0,,"Zone_1,Zone_6",False,False
EX_00652,Get-up Post to High Pelvis Bridge Isolations,Bridge,Core-Stability,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00653,Get-up Post to High Pelvis with One KB,Get-Up,Complex-Movement,D,,,Band_4,4-4,,E0,,"Zone_1,Zone_6",False,False
